"src_schema","src_table","src_column","tgt_schema","tgt_table","tgt_pk","total_distinct_sampled","matched_on_parent","coverage","rel_exemplo"
"public","demctbb","demctb","public","demctb","demctb","1","1","1.0000","demctbb[demctb] -> demctb[demctb]"
"public","deposito","depccusto","public","ccusto","ccusto","5","5","1.0000","deposito[depccusto] -> ccusto[ccusto]"
"public","deposito","depcidade","public","cidade","cidade","4","4","1.0000","deposito[depcidade] -> cidade[cidade]"
"public","devcompr","dcoproduto","public","produto","produto","609","609","1.0000","devcompr[dcoproduto] -> produto[produto]"
"public","devvenda","dvvproduto","public","produto","produto","3325","3325","1.0000","devvenda[dvvproduto] -> produto[produto]"
"public","dupdes","dudbanco","public","banco","banco","3","3","1.0000","dupdes[dudbanco] -> banco[banco]"
"public","elecon","elemen","public","elemen","elemen","4342","4342","1.0000","elecon[elemen] -> elemen[elemen]"
"public","elyprod","epyimpress","public","impress","impress","1","1","1.0000","elyprod[epyimpress] -> impress[impress]"
"public","emphist1","empempresa","public","empresa","empresa","2198","2198","1.0000","emphist1[empempresa] -> empresa[empresa]"
"public","empresa","empcidade","public","cidade","cidade","1219","1219","1.0000","empresa[empcidade] -> cidade[cidade]"
"public","empresa1","empresa","public","empresa","empresa","114","114","1.0000","empresa1[empresa] -> empresa[empresa]"
"public","emquali","empresa","public","empresa","empresa","1566","1566","1.0000","emquali[empresa] -> empresa[empresa]"
"public","entpaser","pentparam","public","entparam","pentparam","1","1","1.0000","entpaser[pentparam] -> entparam[pentparam]"
"public","estado","pais","public","pais","pais","6","6","1.0000","estado[pais] -> pais[pais]"
"public","estrutur","estproduto","public","produto","produto","10000","10000","1.0000","estrutur[estproduto] -> produto[produto]"
"public","etapv","impress","public","impress","impress","1","1","1.0000","etapv[impress] -> impress[impress]"
"public","etapvlev","etapvcod","public","etapv","etapvcod","2","2","1.0000","etapvlev[etapvcod] -> etapv[etapvcod]"
"public","etiqueta","empresa","public","empresa","empresa","4","4","1.0000","etiqueta[empresa] -> empresa[empresa]"
"public","fcium1","fciumtipo","public","fcium","fciumtipo","1","1","1.0000","fcium1[fciumtipo] -> fcium[fciumtipo]"
"public","fcmat","empresa","public","empresa","empresa","208","208","1.0000","fcmat[empresa] -> empresa[empresa]"
"public","fcmat","produto","public","produto","produto","728","728","1.0000","fcmat[produto] -> produto[produto]"
"public","fcmat1","produto","public","produto","produto","728","728","1.0000","fcmat1[produto] -> produto[produto]"
"public","formula","regiao","public","regiao","regiao","7","7","1.0000","formula[regiao] -> regiao[regiao]"
"public","gastreq","ccusto","public","ccusto","ccusto","39","39","1.0000","gastreq[ccusto] -> ccusto[ccusto]"
"public","gastreq","planoc","public","planoc","planoc","27","27","1.0000","gastreq[planoc] -> planoc[planoc]"
"public","grupeco1","grempresa","public","empresa","empresa","1441","1441","1.0000","grupeco1[grempresa] -> empresa[empresa]"
"public","grupo1","grupo","public","grupo","grupo","165","165","1.0000","grupo1[grupo] -> grupo[grupo]"
